State,StateAbbr,Name,Party,Inauguration,Title,office,officialTwitter,campaignTwitter,othertwitter
Ohio,OH,Jon A. Husted,Republican,2019-01-14,Lt. Governor,LtGov,LtGovHusted,JonHusted,NA
Ohio,OH,Frank LaRose,Republican,2019-01-14,Secretary of State,SecState,SecLaRoseComms,FrankLaRose,NA
Ohio,OH,Dave Yost,Republican,2019-01-14,Attorney General,StateAG,OhioAG,DaveYostOH,NA
Ohio,OH,Robert Sprague,Republican,2019-01-14,Treasurer,Treasurer,OhioTreasurer,RobertCSprague,NA
Oklahoma,OK,Kevin Stitt,Republican,2019-01-14,Governor,Governor,GovStitt,Stitt4Gov,NA
Oklahoma,OK,Matt Pinnell,Republican,2019-01-14,Lt. Governor,LtGov,LtGovPinnell,PinnellForLtGov,NA
Oklahoma,OK,Brian Bingman,Republican,2020-10-23,Secretary of State,SecState,oklahoma_sos,NA,NA
Oklahoma,OK,John O'Connor,Republican,2021-07-23,Attorney General,StateAG,okla_oag,NA,NA
Oklahoma,OK,Randy McDaniel,Republican,2019-01-02,Treasurer,Treasurer,OKTreasurer,NA,NA
Oregon,OR,Kate Brown,Democratic,2015-02-18,Governor,Governor,OregonGovBrown,KateBrownForOR,NA
Oregon,OR,Shemia Fagan,Democratic,2021-01-04,Secretary of State,SecState,OregonSOS,Shemia_Fagan,NA
Oregon,OR,Ellen Rosenblum,Democratic,2012-06-29,Attorney General,StateAG,ORDOJ,EllenRosenblum,NA
Oregon,OR,Tobias Read,Democratic,2017-01-03,Treasurer,Treasurer,NA,TobiasRead,NA
Pennsylvania,PA,Tom Wolf,Democratic,2015-01-20,Governor,Governor,GovernorTomWolf,TomWolfPA,NA
Pennsylvania,PA,John Fetterman,Democratic,2019-01-15,Lt. Governor,LtGov,FettermanLt,JohnFetterman,NA
Pennsylvania,PA,Leigh Chapman,Democratic,2022-01-08,Secretary of the Commonwealth,SecState,PAStateSec,NA,NA
Pennsylvania,PA,Josh Shapiro,Democratic,2017-01-17,Attorney General,StateAG,PAAttorneyGen,JoshShapiroPA,NA
Pennsylvania,PA,Stacy Garrity,Republican,2021-01-19,Treasurer,Treasurer,PATreasurer,GarrityForPA,NA
Rhode Island,RI,Dan McKee,Democratic,2021-03-02,Governor,Governor,GovDanMcKee,DanMcKeeRI,NA
Rhode Island,RI,Sabina Matos,Democratic,2021-04-14,Lt. Governor,LtGov,LGSabinaMatos,Sabina_Matos,NA
Rhode Island,RI,Nellie Gorbea,Democratic,2015-01-06,Secretary of State,SecState,RISecState,NellieGorbea,NA
Rhode Island,RI,Peter Neronha,Democratic,2019-01-01,Attorney General,StateAG,AGNeronha,PeterNeronha,NA
Rhode Island,RI,Seth Magaziner,Democratic,2015-01-06,General Treasurer,Treasurer,RITreasury,SethMagaziner,NA
